"Submission.ID","X1.1.Which.of.the.following.most.closely.matches.your.primary.job.function..","X1.2.How.long.have.you.been.working.in.your.current.company.role.","X1.3.What.is.your.year.of.birth.","Specifying.requirements","Designing.software","Implementing.software","Testing","The.activities.after.release","Other","X2.2..How.much.do.you.agree.with.the.following.statements...I.know.who.uses.the.software.I.contribute.to.in.my.work","X2.2..How.much.do.you.agree.with.the.following.statements...I.need.to.ask.for.permission.to.contact.users","X2.2..How.much.do.you.agree.with.the.following.statements...I.frequently.have.direct.contact.with.users","X2.2..How.much.do.you.agree.with.the.following.statements...I.have.sufficient.information.about.users..needs","X2.2..How.much.do.you.agree.with.the.following.statements...I.have.information.about.users.that.is.relevant.for.my.work","X2.2..How.much.do.you.agree.with.the.following.statements...The.information.I.have.about.users.is.up.to.date","jobfunction","worktime","birthyear","age","useractivities.specifying.requirements","useractivities.designing.software","useractivities.implementing.software","useractivities.testing","useractivities.after.release","useractivities.other","useractivities.options","userinv.S1","userinv.S2","userinv.S3","userinv.S4","userinv.S5","userinv.S6","userinv.statements","userinv.options"
97,0,14,1959,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,3,2,5,3,4,4,"Developing software",14,1959,58,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,"Specifying requirements",3,2,5,3,4,4,"I know who uses the software I contribute to in my work","Completely disagree"
98,0,8,1964,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,5,2,3,4,4,1,"Developing software",8,1964,53,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,"Designing software",5,2,3,4,4,1,"I need to ask for permission to contact users","Disagree"
99,2,25,1963,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,5,1,1,1,3,1,"UX Design",25,1963,54,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,"Implementing software",5,1,1,1,3,1,"I frequently have direct contact with users","Neither disagree or agree"
100,2,39,1962,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,5,5,3,1,5,5,"UX Design",39,1962,55,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,"Testing",5,5,3,1,5,5,"I have sufficient information about users’ needs","Agree"
101,0,30,1988,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,4,2,2,3,2,4,"Developing software",30,1988,29,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,"The activities after release",4,2,2,3,2,4,"I have information about users that is relevant for my work","Completely agree"
102,0,45,1992,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,5,4,2,5,3,1,"Developing software",45,1992,25,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,"Other",5,4,2,5,3,1,"The information I have about users is up to date","I don't know"
103,3,16,1965,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,5,1,4,3,3,4,"Management",16,1965,52,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,"Specifying requirements",5,1,4,3,3,4,"I know who uses the software I contribute to in my work","Completely disagree"
104,0,30,1955,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,3,2,3,5,2,1,"Developing software",30,1955,62,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,"Designing software",3,2,3,5,2,1,"I need to ask for permission to contact users","Disagree"
105,0,8,1991,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,5,2,2,5,3,1,"Developing software",8,1991,26,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,"Implementing software",5,2,2,5,3,1,"I frequently have direct contact with users","Neither disagree or agree"
106,5,34,1976,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,4,4,2,1,5,5,"Architecture",34,1976,41,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,"Testing",4,4,2,1,5,5,"I have sufficient information about users’ needs","Agree"
107,5,38,1969,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,4,1,1,3,2,5,"Architecture",38,1969,48,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,"The activities after release",4,1,1,3,2,5,"I have information about users that is relevant for my work","Completely agree"
108,0,28,1993,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,5,5,2,4,3,3,"Developing software",28,1993,24,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,"Other",5,5,2,4,3,3,"The information I have about users is up to date","I don't know"
